이름,분류,지역
헤모필리아라이프,전문지/기타,
헬스경향,전문지/기타,
헬스조선,전문지/기타,
현대불교신문,전문지/기타,
현대해양,전문지/기타,
화이트페이퍼,전문지/기타,
후생신보,전문지/기타,
CTS,전문지/기타,
EBN,전문지/기타,
ESG경제,전문지/기타,
EV라운지,전문지/기타,
e의료정보,전문지/기타,
FPN,전문지/기타,
FT스포츠,전문지/기타,
IT동아,전문지/기타,
KBR,전문지/기타,
Korea IT Times,전문지/기타,
KOTRA해외시장뉴스,전문지/기타,
kt 롤스터,전문지/기타,
PD저널,전문지/기타,
RPM9,전문지/기타,
S-저널,전문지/기타,
SPACE(rhdrks),전문지/기타,
The New York Times,전문지/기타,
THE PR,전문지/기타,
